ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
N/A	2018	09-APR-18	SANTA BARBARA	42S10N26W21	ARRUGULA (ROQUETTE, ROCKET SALAD, ARUGULA)	MILLER NU FILM P	1.4999	N/A	N/A	6.7	A	G
N/A	2018	23-MAY-18	SANTA BARBARA	42S10N26W21	ARRUGULA (ROQUETTE, ROCKET SALAD, ARUGULA)	MILLER NU FILM P	1.3208	N/A	N/A	5.9	A	G
N/A	2018	01-JUN-18	SANTA BARBARA	42S10N26W21	ARRUGULA (ROQUETTE, ROCKET SALAD, ARUGULA)	MILLER NU FILM P	1.2469	N/A	N/A	5.57	A	G
N/A	2018	23-MAY-18	SANTA BARBARA	42S09N26W02	ARRUGULA (ROQUETTE, ROCKET SALAD, ARUGULA)	MILLER NU FILM P	2.6887	N/A	N/A	12.01	A	G
N/A	2018	19-APR-18	SANTA BARBARA	42S10N26W21	ARRUGULA (ROQUETTE, ROCKET SALAD, ARUGULA)	MILLER NU FILM P	1.8536	N/A	N/A	8.28	A	G
N/A	2018	18-APR-18	SANTA BARBARA	42S10N26W21	ARRUGULA (ROQUETTE, ROCKET SALAD, ARUGULA)	MILLER NU FILM P	4.3184	N/A	N/A	19.29	A	G
N/A	2018	28-MAY-18	SANTA BARBARA	42S10N26W21	ARRUGULA (ROQUETTE, ROCKET SALAD, ARUGULA)	MILLER NU FILM P	3.9625	N/A	N/A	17.7	A	G
N/A	2018	18-APR-18	SANTA BARBARA	42S10N26W21	ARRUGULA (ROQUETTE, ROCKET SALAD, ARUGULA)	MILLER NU FILM P	.356	N/A	N/A	1.59	A	G
N/A	2018	28-MAY-18	SANTA BARBARA	42S09N26W02	ARRUGULA (ROQUETTE, ROCKET SALAD, ARUGULA)	MILLER NU FILM P	4.4192	N/A	N/A	19.74	A	G
N/A	2018	23-MAY-18	SANTA BARBARA	42S09N26W02	ARRUGULA (ROQUETTE, ROCKET SALAD, ARUGULA)	MILLER NU FILM P	.5597	N/A	N/A	2.5	A	G
N/A	2018	28-MAY-18	SANTA BARBARA	42S09N26W02	ARRUGULA (ROQUETTE, ROCKET SALAD, ARUGULA)	MILLER NU FILM P	1.1193	N/A	N/A	5	A	G
N/A	2018	20-NOV-18	SANTA BARBARA	42S10N36W12	ARTICHOKE (GLOBE) (ALL OR UNSPEC)	CROP OIL CONCENTRATE	22.7995	N/A	N/A	40.35	A	G
N/A	2018	31-OCT-18	SANTA BARBARA	42S10N35W09	ARTICHOKE (GLOBE) (ALL OR UNSPEC)	CROP OIL CONCENTRATE	5.9351	N/A	N/A	10.5	A	G
N/A	2018	25-OCT-18	SANTA BARBARA	42S10N35W16	ARTICHOKE (GLOBE) (ALL OR UNSPEC)	CROP OIL CONCENTRATE	8.2512	N/A	N/A	14.6	A	G
N/A	2018	26-OCT-18	SANTA BARBARA	42S10N35W16	ARTICHOKE (GLOBE) (ALL OR UNSPEC)	CROP OIL CONCENTRATE	8.1065	N/A	N/A	14.4	A	G
N/A	2018	03-NOV-18	SANTA BARBARA	42S10N35W16	ARTICHOKE (GLOBE) (ALL OR UNSPEC)	CROP OIL CONCENTRATE	5.3561	N/A	N/A	9.5	A	G
N/A	2018	09-NOV-18	SANTA BARBARA	42S10N35W17	ARTICHOKE (GLOBE) (ALL OR UNSPEC)	CROP OIL CONCENTRATE	8.5408	N/A	N/A	15.1	A	G
NO	2018	22-MAY-18	SANTA BARBARA	42S04N28W03	AVOCADO (ALL OR UNSPEC)	IAP ORGANIC SUMMER 415 SPRAY OIL	319.4097	MINERAL OIL	313.021506	30	A	G
NO	2018	12-SEP-18	SANTA BARBARA	42S09N34W36	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	404.3017	MINERAL OIL	396.215666	28.48	A	G
NO	2018	14-SEP-18	SANTA BARBARA	42S09N34W36	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	263.9034	MINERAL OIL	258.625332	18.59	A	G
NO	2018	23-MAY-18	SANTA BARBARA	42S05N30W19	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	1277.6387	MINERAL OIL	1252.085926	60	A	A
NO	2018	28-MAY-18	SANTA BARBARA	42S04N30W01	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	425.8796	MINERAL OIL	417.362008	20	A	A
NO	2018	23-JUN-18	SANTA BARBARA	42S09N34W35	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	736.2038	MINERAL OIL	721.479724	51.86	A	A
NO	2018	06-JUN-18	SANTA BARBARA	42S04N25W06	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	2593.6066	MINERAL OIL	2541.734468	182.7	A	A
NO	2018	06-JUN-18	SANTA BARBARA	42S04N25W21	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	241.3318	MINERAL OIL	236.505164	17	A	A
NO	2018	04-JUN-18	SANTA BARBARA	42S04N29W02	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	223.5868	MINERAL OIL	219.115064	10.5	A	A
NO	2018	04-JUN-18	SANTA BARBARA	42S04N29W10	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	276.8217	MINERAL OIL	271.285266	13	A	A
NO	2018	30-MAY-18	SANTA BARBARA	42S05N30W36	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	681.4073	MINERAL OIL	667.779154	32	A	A
NO	2018	02-JUN-18	SANTA BARBARA	42S04N28W16	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	596.2314	MINERAL OIL	584.306772	12	A	G
NO	2018	04-JUN-18	SANTA BARBARA	42S04N29W03	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	372.6446	MINERAL OIL	365.191708	17.5	A	A
NO	2018	13-SEP-18	SANTA BARBARA	42S09N34W36	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	85.4598	MINERAL OIL	83.750604	6.02	A	G
NO	2018	23-MAY-18	SANTA BARBARA	42S05N30W34	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	170.3518	MINERAL OIL	166.944764	8	A	A
NO	2018	05-JUN-18	SANTA BARBARA	42S04N25W06	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	2593.6066	MINERAL OIL	2541.734468	182.7	A	A
NO	2018	04-JUN-18	SANTA BARBARA	42S05N29W35	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	90.4994	MINERAL OIL	88.689412	4.25	A	A
NO	2018	12-JUN-18	SANTA BARBARA	42S05N28W34	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	755.0845	MINERAL OIL	739.98281	53.19	A	A
NO	2018	20-JUN-18	SANTA BARBARA	42S04N25W28	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	532.3495	MINERAL OIL	521.70251	25	A	A
NO	2018	20-JUN-18	SANTA BARBARA	42S05N31W26	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	997.9778	MINERAL OIL	978.018244	140.6	A	A
NO	2018	21-JUN-18	SANTA BARBARA	42S05N31W26	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	797.8144	MINERAL OIL	781.858112	112.4	A	A
NO	2018	23-JUN-18	SANTA BARBARA	42S09N34W34	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	1003.9401	MINERAL OIL	983.861298	70.72	A	A
NO	2018	05-JUN-18	SANTA BARBARA	42S04N28W04	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	212.9398	MINERAL OIL	208.681004	10	A	A
NO	2018	06-JUN-18	SANTA BARBARA	42S05N29W33	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	468.4675	MINERAL OIL	459.09815	22	A	A
NO	2018	17-MAY-18	SANTA BARBARA	42S04N25W19	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	106.4699	MINERAL OIL	104.340502	6	A	A
NO	2018	29-MAY-18	SANTA BARBARA	42S05N30W36	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	2597.8654	MINERAL OIL	2545.908092	122	A	A
NO	2018	06-JUN-18	SANTA BARBARA	42S04N25W28	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	553.6435	MINERAL OIL	542.57063	26	A	A
NO	2018	06-JUN-18	SANTA BARBARA	42S04N25W27	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	638.8194	MINERAL OIL	626.043012	30	A	A
NO	2018	07-JUN-18	SANTA BARBARA	42S04N25W07	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	4429.1476	MINERAL OIL	4340.564648	195	A	A
NO	2018	06-JUN-18	SANTA BARBARA	42S04N25W21	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	85.1759	MINERAL OIL	83.472382	6	A	A
NO	2018	24-MAY-18	SANTA BARBARA	42S04N29W04	AVOCADO (ALL OR UNSPEC)	IAP SUMMER 415 SPRAY OIL	319.4097	MINERAL OIL	313.021506	15	A	A
